id,status_id,name,type,desc,address,rush_hours,floor,area,staff_count,avg_move_in_floor,days,fiber,wifi,irancell,rightel,mci,das_in_ibs,adsl,power,ac_type,activity_duration,activity,location,city_id
1,1,پاساژ ولیعصر,indoor,,خيابان وليعصر,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.41462,51.26717",16
2,1,فرودگاه مهرآباد ترمینال 6,indoor,,فرودگاه مهراباد- ترمینال 6,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.688786,51.330155",16
3,1,بام جمشیدیه,indoor,,نیاوران-خ فیضیه-جمشیدیه24-حصارک1-انتهای بن بست حصارک2-پ10-ساختمان بام جمشیدیه,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.8215,51.462594",16
4,1,ساختمان ناک,indoor,,منطقه2-شهرک غرب-بلوار فرحزادی-خ تربیت معلم-ساختمان نک,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.77289,51.36051",16
5,1,ساختمان مخابرات - سردار جنگل,indoor,,اتوبان همت - اتوبان ستاری - ساختما ن مخابرات  ایران,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.7532,51.323257",16
6,1,مجتمع زیتون,indoor,,اتوبان بعثت – نبش شهرک شهید بروجردی – مجتمع تجاری زیتون ,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.38438,51.28042",16
7,1,بازار مبل ایران - مجموعه شماره 2,indoor,,بزرگراه آیت الله سعیدی- یافت آباد شرقی- جنب پارکینگ طبقاتی منطقه 17 – مجموعه شماره 2 بازار مبل ایران,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.66339,51.35175",16
8,1,برج بهارستان,indoor,,تهران -برج-میدان بهارستان-خیابان بهارستان-برج بهارستان,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.41462,51.26717",16
9,1,سازمان تنظیم مقررات رادیویی,indoor,,تهران- خ شريعتي- روبروي خ قندي- ورودي 17-سازمان تنظیم مقررات رادیویی,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.7397,51.446945",16
10,1,برج کوروش,indoor,,تهران - اتوبان ستاری - تقاطع خیابان پیامبر - مجتمع تجاری کوروش,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.7382,51.313792",16
11,1,مهرآباد- پاویون دولت,indoor,,جاده مخصوص - فرودگاه مهرآباد - جنب ترمینال 2 - ساختمان پاویون,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.690325,51.323413",16
12,1,فرودگاه امام خميني- ساختمان VIP,indoor,,اتوبان تهران قم- فرودگاه امام خميني- ساختمان VIP,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.411186,51.148377",16
13,1,اداره مرکزی فرودگاه امام,indoor,,بزرگراه تهران قم-اداره مرکزی فرودگاه امام,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.400842,51.17199",16
14,1,فرودگاه مهرآباد ترمینال 2,indoor,,خ آزادي- فرودگاه مهر آباد 2,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.413049,51.191384",16
15,1,بازار چارسو,indoor,,تهران-خیابان جمهوری-بازار چهارسو,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.41658,51.24742",16
16,1,مجتمع تجاری ارگ,indoor,,ضلع شمالي ميدان تجريش-مجتمع تجاری ارگ,,,,,,,f,f,f,f,f,f,f,f,f,,,"35.80793,51.42675",16
